11098	1	1	1	-999	1	-999	28	30	3.95794919243112	5.47722557505166	1.47712125471966	30	5.47722557505166	30	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
11292	1	1	1	-999	1.66666666666667	2.28571428571429	30	34	4.69	5.8309518948453	1.53147891704226	24	7.74596669241483	60	6	4	4	3	4	6	2	2	1	6	6	6	2	6	2	6	6	6	1	6	6	6	2	6	6	6	1	2	2	6	6	6	6	6	6	6	1	1	1	6	6	6	1	4	3	3	4	1	3	2	3	1	1	1	2	1	3	1	1	1	2	1	1	1	2	1	1	1	3	2	2	1	1	1	1	1	1	1	-999	-999	-999	-999	4	4	3	4	-999	2	2	1	-999	-999	-999	2	-999	2	-999	-999	-999	1	-999	-999	-999	2	-999	-999	-999	1	2	2	-999	-999	-999	-999	-999	-999	-999
12203	1	1	3.33333333333333	5	1.55555555555556	2.92857142857143	26	40	3.45393202250021	6.32455532033676	1.60205999132796	18	4.69041575982343	22	6	4	6	4	3	6	6	6	2	3	6	3	6	6	2	3	6	4	4	6	6	6	2	2	6	3	6	6	6	6	6	6	6	6	6	2	5	4	1	5	5	6	1	3	1	3	2	1	1	1	3	2	1	2	1	1	2	2	1	2	2	1	1	1	3	4	1	2	1	1	1	1	1	1	1	1	1	2	5	5	-999	-999	4	-999	4	3	-999	-999	-999	2	3	-999	3	-999	-999	2	3	-999	4	4	-999	-999	-999	2	2	-999	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	2
12213	1	1	2.33333333333333	5	4.47222222222222	4.78787878787879	28	99	3.95794919243112	9.9498743710662	1.99563519459755	16	5.65685424949238	32	6	5	5	5	5	5	5	5	5	5	6	6	4	2	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	5	6	6	1	5	5	5	5	5	5	5	5	5	1	1	4	2	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-999	-999	-999	5	5	5	5	5	5	5	5	5	-999	-999	4	2	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5
12352	1	1	2.66666666666667	2	2.94444444444444	1.96296296296296	18	23	2.08444872453601	4.79583152331272	1.36172783601759	27	6	36	6	1	2	3	6	2	2	3	6	6	6	3	1	6	4	5	2	6	3	2	2	6	2	1	2	1	6	1	1	1	1	2	1	2	2	1	3	4	1	2	2	6	1	2	4	5	1	2	2	3	1	1	1	3	4	1	4	5	2	1	4	3	3	1	3	5	3	2	1	2	4	5	5	5	5	4	4	4	2	2	-999	-999	1	2	3	-999	2	2	3	-999	-999	-999	3	1	-999	4	5	2	-999	3	2	2	-999	2	1	2	1	-999	1	1	1	1	2	1	2	2	1
12694	1	1	1	-999	3	3.54545454545455	23	27	2.86157287525381	5.19615242270663	1.43136376415899	12	3.60555127546399	13	5	5	4	3	2	4	3	2	1	6	2	5	6	2	5	2	3	4	4	4	4	2	4	5	4	6	4	2	4	3	4	5	5	3	3	5	1	1	1	6	6	6	4	4	3	3	2	3	3	2	2	1	2	4	1	2	4	2	3	3	4	4	3	2	3	5	3	1	3	2	3	3	4	5	5	3	3	4	-999	-999	-999	5	5	4	3	2	4	3	2	1	-999	2	5	-999	2	5	2	3	4	4	4	4	2	4	5	4	-999	4	2	4	3	4	5	5	3	3	5
12778	1	1	4.66666666666667	4.66666666666667	3.88888888888889	4.22222222222222	28	35	3.95794919243112	5.91607978309962	1.54406804435028	17	4.69041575982343	22	4	4	3	3	5	3	5	5	4	4	5	2	4	4	4	5	4	3	5	5	5	4	4	5	4	4	4	5	5	5	3	5	5	5	4	4	5	5	4	5	5	4	4	4	2	2	5	3	3	3	4	4	5	2	2	3	3	3	4	4	5	5	5	4	4	5	3	4	4	5	5	4	4	5	5	5	4	4	5	5	4	4	4	3	3	5	3	5	5	4	4	5	2	4	4	4	5	4	3	5	5	5	4	4	5	4	4	4	5	5	5	3	5	5	5	4	4
14192	1	1	4	4	4.11111111111111	4.41176470588235	19	55	2.22589838486225	7.41619848709566	1.74036268949424	9	6.40312423743285	41	4	5	5	5	3	5	5	5	5	6	3	6	4	4	5	4	5	3	5	5	5	5	5	5	5	3	2	2	5	5	5	5	4	5	4	5	5	2	5	5	2	5	2	4	3	5	5	5	5	5	5	1	2	1	4	4	5	2	5	3	5	5	5	5	5	5	5	3	2	2	5	5	5	5	5	5	5	5	5	2	5	4	5	5	5	3	5	5	5	5	-999	3	-999	4	4	5	4	5	3	5	5	5	5	5	5	5	3	2	2	5	5	5	5	4	5	4	5
14494	1	1	4	4.66666666666667	2.58333333333333	3.17647058823529	30	102	4.69	10.0995049383621	2.00860017176192	23	5	25	2	5	1	2	2	2	2	2	3	3	4	3	6	4	3	3	3	5	3	1	4	6	5	5	2	2	4	3	3	3	5	3	5	2	4	5	5	3	4	5	5	4	2	4	3	3	2	2	3	2	3	2	4	2	1	3	2	2	3	4	2	2	3	1	3	3	2	2	3	2	2	3	5	3	3	2	2	3	5	5	4	2	5	1	2	2	2	2	2	3	3	4	3	-999	4	3	3	3	5	3	1	4	-999	5	5	2	2	4	3	3	3	5	3	5	2	4	5
14653	1	1	3.33333333333333	3.33333333333333	2.94444444444444	2.9	20	56	2.3733752096446	7.48331477354788	1.7481880270062	27	9.1104335791443	83	1	3	2	4	5	2	3	3	3	6	1	3	6	2	1	2	3	6	2	2	3	6	3	5	3	6	3	6	2	2	3	4	5	5	3	4	5	3	2	5	4	1	2	3	2	4	5	2	3	3	4	1	2	3	1	5	2	2	3	1	3	4	4	1	3	5	2	1	4	1	3	2	2	4	5	5	4	5	5	4	1	1	3	2	4	5	2	3	3	3	-999	1	3	-999	2	1	2	3	-999	2	2	3	-999	3	5	3	-999	3	-999	2	2	3	4	5	5	3	4
