    2.415223     2.724907     4.775980     6.812633     0.276687  2
   -0.319701     2.347916     2.306581     4.906904    -1.310479  2
    4.641254     6.243014     6.380579     9.564881     0.259540  2
    4.251353     6.708155     5.872415     5.962376     0.165002  2
   -0.077848     0.850840     2.110641     2.261374    -3.053967  2
    3.606519     4.691109     6.372764     8.515072     0.254755  2
    3.854820     5.298397     4.273545     6.316573    -0.069643  2
    1.762314     2.584978     1.992344     3.833613    -0.869661  1
    1.416998     2.446217     2.807400     4.053247    -0.991294  2
    3.556379     4.608341     3.813614     4.456514    -0.509378  2
    1.816439     0.822698     0.776594     1.472603    -1.800131  1
    1.265428    -1.042918    -1.069548    -0.195346    -0.101377  1
    0.253488     1.015791     1.538041     1.463254     0.853659  1
    0.336715     1.432487     2.017770     1.262022     0.667010  1
    4.146018     3.742438     6.241059     6.597179     0.289017  2
    2.443900     3.053164     6.592912     7.585521     0.908860  2
    3.567354     4.498233     6.608670     7.781207    -0.722729  2
    1.530981     3.685403     4.372348     7.155001     0.225887  2
    2.297355     3.206663     4.369594     5.802033    -0.607721  2
   -1.653858     0.565166     2.177523     2.745594     0.518773  1
    4.585902     3.620328     5.881460     6.199631    -0.914075  2
    1.542439     3.035204     4.128765     4.945765    -0.891695  2
    1.815765     4.229000     3.710101     4.609862    -0.441021  1
    2.686702     5.003874     5.319653     6.291331    -0.187608  2
    1.331696     1.811764     1.122939     1.165323    -0.056632  1
    0.341878     1.248550     0.625378     0.815548    -0.633715  1
   -0.180171     2.188186     4.148404     7.059099    -0.601087  2
    3.475686     4.301041     6.090662     7.459441     0.252273  2
    0.117781     1.414549     0.944815     2.539889    -0.447618  1
   -1.162173    -0.667044    -1.822380    -0.328695    -0.673630  1
    1.472152     2.755842     1.710522     2.295365    -1.013107  2
    1.091884     2.131745     2.940333     3.535877     0.974389  1
    0.105790     0.489666     2.088676     4.506949    -0.400016  2
    1.414876     4.528620     6.534080     5.036027    -0.947674  2
    1.688606     1.250842     3.062817     5.022945     0.752114  1
    4.255768     4.565633     5.047740     4.679743    -0.079475  2
    0.261265     1.474072     2.783174     5.506916     0.137475  2
    3.195420     4.664566     4.464896     7.048279     0.101479  2
    3.043042     2.718561     5.044450     6.642068     1.208892  2
    1.286862    -0.364965     0.640572    -0.155841    -1.163346  1
   -1.385903    -1.034042     0.158751    -0.339157    -1.479094  1
    3.071083     4.334623     4.208671     6.599096    -0.286522  2
   -0.346574    -0.177973     0.559459     1.938218    -0.673589  1
    2.133924     4.178835     3.960018     5.089957     2.145770  1
    1.495867     0.597347     1.104404     3.005189     0.818125  1
    4.005952     5.355518     4.728114     4.083046    -0.228186  2
    1.096092     2.590433     4.109631     6.276844     1.432771  1
    1.653111     2.619823     2.284469     1.317815     0.015193  1
    1.464291     1.942611     2.545497     3.712863    -0.242214  2
    3.236570     3.518422     5.051425     4.247979    -0.820419  2
   -0.611856     0.067591     1.233615     2.238855     0.211154  1
    2.295881     4.492064     4.410899     7.462789     0.518193  2
    2.895456     4.333955     4.253389     4.383575    -0.469487  2
    0.479038     1.273113     1.348459     2.428219     1.776869  1
    0.735137     2.313709     2.066350     2.022570    -0.821394  1
    0.214307     2.245360     2.905604     2.118328     0.159705  1
    1.444679     0.180389     0.807897     1.529047    -1.586964  2
   -1.063541    -1.997014    -0.575650     1.304921    -2.063881  1
    4.252783     5.282073     7.276807     6.577599     0.604481  2
    1.821253     1.973823     3.280552     6.088428    -0.655727  2
   -0.272807     0.228295     1.702922     1.507604     0.272560  1
    0.612344     3.805711     3.381657     4.804658    -0.241135  2
    4.569236     5.235466     4.950141     5.855010    -0.940503  2
   -0.055189     0.895337     1.870654     3.012770     0.532184  1
    1.326458     2.078197     2.486237     2.157118     1.962425  1
    2.052941     4.693843     4.575798     5.602780     0.359701  2
    1.420487     4.029315     5.504513     7.403470     1.412717  2
    1.936399     6.921835     6.790182     7.067838     2.501250  1
   -2.724589    -0.419140    -0.292709    -1.039166    -1.359700  1
    2.398241     2.397835     4.146246     4.818586    -0.354578  2
    0.183347     2.750728     2.215939     3.438174     0.884590  1
    1.318407     2.424399     2.644401     3.220814     0.030387  1
    0.023683    -1.421437     0.305491    -2.085334    -2.126569  1
